###################################################################################
#
# Mesen Game Database
#
# Automatically generated database based on Nestopia's DB and NesCartDB
#
# Generated on 2022-07-21 using:
#     -NewRisingSun's NES 2.0 header database (2021-12-25)
#     -NesCartDB (dated 2017-08-21)
#     -Nestopia UE's latest DB (dated 2015-10-22) 
# 
# Fields: CRC, System, Board, PCB, Chip, Mapper, PrgRomSize, ChrRomSize, ChrRamSize, WorkRamSize, SaveRamSize, Battery, Mirroring, Controller Type, Bus Conflicts, SubMapper, VsSystemType, PpuModel
#
###################################################################################
00098369,NesNtsc,,,,562,128,128,0,8,0,0,v,1,,1,,
000B7B60,NesNtsc,,,,1,128,128,0,0,8,1,h,1,,0,,
001388B3,NesPal,NES-TLROM,NES-TLROM-03,MMC3C,4,256,128,0,0,0,0,h,1,,0,,
0016BFBA,NesNtsc,,,,176,512,384,0,0,0,0,h,1,,0,,
001CA5A5,NesNtsc,,,,1,256,0,8,0,0,0,h,1,,0,,
001EC6AD,NesNtsc,,,,4,256,256,0,0,0,0,h,1,,0,,
0021EBA8,NesPal,,,,0,32,0,8,0,0,0,h,1,,0,,
0021ED29,Famicom,HVC-SGROM,HVC-SGROM-02,MMC1A,1,256,0,8,0,0,0,h,1,,0,,
00263E3C,NesNtsc,,,,4,512,256,0,0,0,0,h,1,,0,,
002F39EF,NesNtsc,,,,4,256,128,0,0,0,0,h,1,,0,,
004FD616,VT03,,,,256,16,32,0,0,0,0,h,1,,1,,
00514347,NesNtsc,,,,4,32,8,0,0,0,0,h,1,,0,,
005402F1,NesNtsc,,,,336,256,0,8,0,0,0,v,1,,0,,
005C7569,NesNtsc,,,,4,256,256,0,0,0,0,h,1,,0,,
00737729,NesNtsc,,,,1,256,0,8,8,0,0,h,1,,0,,
0073DBD8,NesNtsc,,,,260,512,512,0,0,0,0,h,1,,0,,
00763EF6,NesNtsc,,,,1,512,0,8,0,0,0,h,1,,0,,
007BB58A,Famicom,,,,3,32,16,0,0,0,0,v,1,,2,,
00836FE4,NesNtsc,,,,2,128,0,8,0,0,0,v,1,,2,,
00837960,NesNtsc,NES-TSROM,NES-TSROM-08,MMC3C,4,256,256,0,8,0,0,h,1,,0,,
00890F1E,NesNtsc,,,,4,512,0,8,0,8,1,h,1,,0,,
008E2D30,Famicom,HVC-SLROM,HVC-SLROM-03,MMC1B2,1,128,128,0,0,0,0,h,1,,0,,
009AF6BE,NesNtsc,NES-ANROM,NES-ANROM-03,,7,128,0,8,0,0,0,h,1,,1,,
00A53242,NesPal,,,,113,128,128,0,0,0,0,h,1,,0,,
00AB846E,VT02,,,,256,16384,0,0,0,0,0,h,1,,0,,
00AD1189,NesPal,NES-SLROM,NES-SLROM-06,MMC1B2,1,128,128,0,0,0,0,h,1,,0,,
00BECBFE,NesNtsc,,,,4,128,128,0,8,0,0,h,1,,0,,
00C204E0,NesNtsc,,,,562,256,0,32,8,0,0,v,1,,1,,
00C32856,NesNtsc,,,,4,64,16,0,0,8,1,h,1,,0,,
00C76093,NesNtsc,,,,4,128,128,0,0,0,0,h,1,,0,,
